,relevant_fixdur,redundant_fixdur,relevant_fixnum,redundant_fixnum,experience
0,299.475,351.89722222222224,40.0,360.0,1
1,300.68,311.8373983739837,25.0,123.0,1
2,309.88235294117646,296.2142857142857,17.0,140.0,1
3,294.0,279.50588235294117,17.0,170.0,2
4,372.26666666666665,314.7019230769231,60.0,312.0,2
5,325.94736842105266,359.25,19.0,92.0,2
6,416.37142857142857,330.26446280991735,35.0,121.0,2
7,280.22857142857146,328.35483870967744,35.0,217.0,2
8,359.3,278.72463768115944,40.0,138.0,2
9,458.42857142857144,298.9296875,7.0,128.0,2
10,386.9230769230769,348.1842105263158,39.0,190.0,2
11,394.54545454545456,331.91379310344826,22.0,174.0,2
12,241.1,353.44444444444446,20.0,117.0,1
13,277.0,285.327868852459,23.0,122.0,1
14,269.53061224489795,240.94505494505495,49.0,182.0,1
15,229.57142857142858,320.037037037037,14.0,189.0,1
16,300.46153846153845,302.2487562189055,13.0,201.0,1
17,383.25,309.08196721311475,12.0,61.0,1
