,fase,score,image
0,Test,0.48571428571428577,11
1,Train,0.35555555555555557,11
3,Test,0.14285714285714288,12
4,Train,0.7222222222222222,12
6,Test,0.14285714285714285,21
7,Train,0.0,21
9,Test,0.14285714285714285,22
10,Train,0.38888888888888884,22
12,Test,0.48571428571428577,31
13,Train,0.0,31
15,Test,0.14285714285714285,32
16,Train,0.35555555555555557,32
