,relevant_fixdur,redundant_fixdur,relevant_fixnum,redundant_fixnum,experience
0,386.5342465753425,340.3631284916201,73.0,358.0,1
1,302.4230769230769,281.76129032258063,26.0,155.0,1
2,335.5813953488372,307.83,43.0,100.0,1
3,293.6,268.7062937062937,20.0,143.0,2
4,273.93939393939394,296.9520958083832,33.0,167.0,2
5,531.5555555555555,314.75,18.0,88.0,2
6,369.7692307692308,321.9318181818182,13.0,88.0,2
7,444.8,330.7178217821782,25.0,202.0,2
8,298.6764705882353,282.52884615384613,34.0,104.0,2
9,256.5,262.1803278688525,28.0,122.0,2
10,319.59375,297.2164179104478,32.0,268.0,2
11,326.7857142857143,337.69767441860466,42.0,129.0,2
12,290.2857142857143,340.4396551724138,7.0,116.0,1
13,324.1363636363636,274.3243243243243,22.0,111.0,1
14,252.16666666666666,250.56880733944953,30.0,109.0,1
15,378.5121951219512,253.856,41.0,125.0,1
16,312.25925925925924,315.24305555555554,27.0,144.0,1
17,353.55,339.77777777777777,20.0,99.0,1
