,importance
perc_exitentry,0.2323926073926074
perc_Moveable,0.11001446007696006
perc_evidence,0.010044642857142858
FixDur,0.07314550087711853
relevant_fixdur,0.06231240981240982
redundant_fixdur,0.0540191058941059
relevant_fixnum,0.10029595404595404
redundant_fixnum,0.17168297388885623
pixel,0.18609234515484516
