,ROI,Group,FixDur
0,0,CSI,207
1,0,Novice,219
2,1,CSI,38
3,1,Novice,38
4,2,CSI,2
5,2,Novice,2
6,3,CSI,11
7,3,Novice,4
8,4,CSI,2
9,4,Novice,2
10,6,Novice,1
11,8,Novice,4
12,10,CSI,7
13,10,Novice,9
14,13,CSI,68
15,13,Novice,80
16,14,CSI,2
17,14,Novice,3
18,15,CSI,7
19,15,Novice,21
20,17,CSI,24
21,17,Novice,31
22,19,CSI,7
23,19,Novice,16
